codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0140,8031,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),PM,15,9,132.8,6
0140,8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,15,15,148.0,0
0140,9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,20,2,,18
0140,L121,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,L1,25,6,,19
0150,9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,20,16,118.5,4
0150,9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,35,36,128.3,0
0150,9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,35,35,113.8,0
0150,9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,28,11,108.9,17
0150,9798,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Relações Públicas e Comunicação,L1,45,38,106.5,7
0150,9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,20,13,118.3,7
0150,L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,20,9,108.3,11
0150,L086,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Euro-Atlânticos,L1,25,14,109.7,11
0160,8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,38,38,174.8,0
0160,8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,25,12,112.0,13
0160,9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,25,10,133.9,15
0160,9041,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciências do Mar,L1,20,0,,20
