codCurso,Curso,Vagas,codInst
9078,Direito,334,338,334,0502
9081,Economia,154,154,154,0503
9147,Gestão,89,89,89,0503
9229,Relações Internacionais,41,41,41,0503
9240,Sociologia,41,41,41,0503
9494,Ciências Farmacêuticas,186,187,186,0504
9819,Ciências Bioanalíticas,36,36,36,0504
9832,Farmácia Biomédica,37,37,37,0504
8393,Português,36,42,36,0505
9006,Arqueologia,25,25,25,0505
9132,Estudos Artísticos,35,36,35,0505
9133,Estudos Clássicos,20,21,20,0505
9135,Estudos Europeus,33,33,33,0505
9139,Filosofia,28,29,28,0505
9143,Geografia,56,60,56,0505
9181,História,63,63,63,0505
9182,História da Arte,24,25,24,0505
9694,Ciência da Informação,27,27,27,0505
9773,Jornalismo e Comunicação,50,51,50,0505
9779,Línguas Modernas,87,95,87,0505
L109,"Turismo, Território e Patrimónios",40,40,40,0505
9548,Medicina Dentária,42,42,42,0506
9813,Medicina,255,255,255,0506
9026,Ciências da Educação,70,71,70,0507
9238,Serviço Social,32,32,32,0507
9555,Psicologia,130,131,130,0507
8368,Ciências do Desporto (regime pós-laboral),25,26,25,0508
9707,Ciências do Desporto,95,98,95,0508
8258,Arquitetura Paisagista,10,0,10,0602
8262,Biologia Humana,35,26,35,0602
9003,Agronomia,39,26,39,0602
9011,Biologia,50,42,50,0602
9015,Bioquímica,40,30,40,0602
9016,Biotecnologia,30,20,30,0602
9119,Engenharia Informática,45,45,45,0602
9143,Geografia,20,22,20,0602
9146,Geologia,10,7,10,0602
9210,Matemática Aplicada à Economia e à Gestão,40,36,40,0602
9707,Ciências do Desporto,45,46,45,0602
9751,Engenharia Mecatrónica,40,11,40,0602
9818,Ciência e Tecnologia Animal,39,29,39,0602
9841,Reabilitação Psicomotora,27,13,27,0602
9847,Medicina Veterinária,55,55,55,0602
9910,Engenharia de Energias Renováveis,20,5,20,0602
L090,Ecologia e Ambiente,10,10,10,0602
9069,Design,35,36,35,0603
9243,Teatro,22,23,22,0603
9257,Arquitetura,40,33,40,0603
9347,Artes Plásticas e Multimédia,44,32,44,0603
8251,História e Arqueologia,25,25,25,0604
9026,Ciências da Educação,22,24,22,0604
9081,Economia,40,33,40,0604
9147,Gestão,65,65,65,0604
9219,Psicologia,52,52,52,0604
