codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0300,9252,Universidade de Aveiro,Tradução,L1,37,37,142.6,0
0300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,75,75,166.0,0
0300,9359,Universidade de Aveiro,Engenharia Biomédica,MI,38,38,177.3,0
0300,9360,Universidade de Aveiro,Engenharia Civil,MI,31,22,107.6,9
0300,9361,Universidade de Aveiro,Engenharia de Computadores e Telemática,MI,86,86,149.0,0
0300,9363,Universidade de Aveiro,Engenharia de Materiais,MI,31,31,125.6,0
0300,9365,Universidade de Aveiro,Engenharia Eletrónica e Telecomunicações,MI,83,83,118.8,0
0300,9368,Universidade de Aveiro,Engenharia Física,MI,41,41,161.0,0
0300,9369,Universidade de Aveiro,Engenharia Mecânica,MI,105,105,161.8,0
0300,9461,Universidade de Aveiro,Engenharia Química,MI,45,45,148.0,0
0300,9508,Universidade de Aveiro,Engenharia do Ambiente,MI,22,22,116.4,0
0300,9509,Universidade de Aveiro,Engenharia e Gestão Industrial,MI,74,74,169.6,0
0300,9853,Universidade de Aveiro,Educação Básica,L1,44,44,133.0,0
0300,G009,Universidade de Aveiro,Engenharia Computacional,MI,28,28,127.3,0
0300,L187,Universidade de Aveiro,Gestão e Planeamento em Turismo,L1,29,29,139.4,0
0400,8184,Universidade da Beira Interior,Optometria e Ciências da Visão,L1,30,30,121.4,0
0400,8470,Universidade da Beira Interior,Engenharia Aeronáutica,MI,50,50,172.4,0
0400,9015,Universidade da Beira Interior,Bioquímica,L1,45,45,122.3,0
0400,9016,Universidade da Beira Interior,Biotecnologia,L1,40,41,108.0,0
0400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,35,37,159.2,0
0400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,50,51,143.4,0
0400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,20,21,123.9,0
0400,9048,Universidade da Beira Interior,Cinema,L1,45,45,141.5,0
0400,9071,Universidade da Beira Interior,Design de Moda,L1,50,50,141.5,0
0400,9074,Universidade da Beira Interior,Design Industrial,L1,40,34,117.4,6
0400,9075,Universidade da Beira Interior,Design Multimédia,L1,40,44,140.8,0
0400,9081,Universidade da Beira Interior,Economia,L1,50,50,140.0,0
0400,9089,Universidade da Beira Interior,Engenharia Civil,L1,20,1,158.6,19
0400,9104,Universidade da Beira Interior,Engenharia e Gestão Industrial,L1,22,19,136.8,3
0400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,35,31,112.5,4
0400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,20,4,137.1,16
0400,9119,Universidade da Beira Interior,Engenharia Informática,L1,70,71,136.6,0
0400,9147,Universidade da Beira Interior,Gestão,L1,70,73,152.0,0
0400,9205,Universidade da Beira Interior,Marketing,L1,35,36,128.8,0
0400,9219,Universidade da Beira Interior,Psicologia,L1,50,54,153.2,0
0400,9225,Universidade da Beira Interior,Química Industrial,L1,20,6,110.3,14
0400,9240,Universidade da Beira Interior,Sociologia,L1,40,43,135.3,0
0400,9257,Universidade da Beira Interior,Arquitetura,MI,50,50,143.8,0
0400,9351,Universidade da Beira Interior,Ciências Biomédicas,L1,60,60,145.9,0
0400,9494,Universidade da Beira Interior,Ciências Farmacêuticas,MI,60,60,153.5,0
0400,9707,Universidade da Beira Interior,Ciências do Desporto,L1,60,63,137.7,0
0400,9813,Universidade da Beira Interior,Medicina,MI,140,140,183.2,0
0400,9835,Universidade da Beira Interior,Matemática e Aplicações,L1,20,12,115.5,8
0400,9918,Universidade da Beira Interior,Estudos Portugueses e Espanhóis,L1,25,25,107.0,0
0400,L042,Universidade da Beira Interior,Informática Web,L1,25,24,114.3,1
0400,L205,Universidade da Beira Interior,Física e Aplicações,L1,20,8,127.7,12
0501,8408,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,L1,30,30,118.5,0
0501,9011,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,L1,95,98,143.0,0
0501,9015,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,L1,60,60,153.5,0
0501,9104,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,54,54,158.3,0
0501,9119,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,139,139,162.0,0
0501,9141,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,L1,25,25,163.8,0
0501,9146,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,L1,33,28,100.5,5
0501,9209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,L1,43,43,146.5,0
0501,9223,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,L1,30,24,115.3,6
0501,9257,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,MI,61,61,153.5,0
0501,9359,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,67,68,175.3,0
0501,9360,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,62,32,109.3,30
0501,9367,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,115,112,119.5,3
0501,9368,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,35,35,167.8,0
0501,9369,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,110,110,150.3,0
