;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
111;9104;Engenharia e Gestão Industrial;45;45;45;2018;0501;
112;9119;Engenharia Informática;130;130;130;2018;0501;
113;9141;Física;25;25;25;2018;0501;
114;9146;Geologia;33;24;33;2018;0501;
115;9209;Matemática;40;40;40;2018;0501;
116;9223;Química;30;30;30;2018;0501;
117;9257;Arquitetura;61;61;61;2018;0501;
118;9359;Engenharia Biomédica;60;60;60;2018;0501;
119;9360;Engenharia Civil;70;21;70;2018;0501;
120;9367;Engenharia Eletrotécnica e de Computadores;115;87;115;2018;0501;
121;9368;Engenharia Física;32;32;32;2018;0501;
122;9369;Engenharia Mecânica;110;110;110;2018;0501;
123;9448;Antropologia;47;48;48;2018;0501;
124;9461;Engenharia Química;45;45;45;2018;0501;
125;9508;Engenharia do Ambiente;35;8;35;2018;0501;
126;9891;Design e Multimédia;62;63;63;2018;0501;
127;8067;Administração Público-Privada;41;44;44;2018;0502;
128;9078;Direito;334;338;338;2018;0502;
129;9081;Economia;154;154;154;2018;0503;
130;9147;Gestão;89;89;89;2018;0503;
131;9229;Relações Internacionais;41;41;41;2018;0503;
132;9240;Sociologia;41;41;41;2018;0503;
133;9494;Ciências Farmacêuticas;186;187;187;2018;0504;
134;9819;Ciências Bioanalíticas;36;36;36;2018;0504;
135;9832;Farmácia Biomédica;37;37;37;2018;0504;
136;8393;Português;36;42;42;2018;0505;
137;9006;Arqueologia;25;25;25;2018;0505;
138;9132;Estudos Artísticos;35;36;36;2018;0505;
139;9133;Estudos Clássicos;20;21;21;2018;0505;
140;9135;Estudos Europeus;33;33;33;2018;0505;
141;9139;Filosofia;28;29;29;2018;0505;
142;9143;Geografia;56;60;60;2018;0505;
143;9181;História;63;63;63;2018;0505;
144;9182;História da Arte;24;25;25;2018;0505;
145;9694;Ciência da Informação;27;27;27;2018;0505;
146;9773;Jornalismo e Comunicação;50;51;51;2018;0505;
147;9779;Línguas Modernas;87;95;95;2018;0505;
148;L109;Turismo, Território e Patrimónios;40;40;40;2018;0505;
149;9548;Medicina Dentária;42;42;42;2018;0506;
150;9813;Medicina;255;255;255;2018;0506;
151;9026;Ciências da Educação;70;71;71;2018;0507;
152;9238;Serviço Social;32;32;32;2018;0507;
153;9555;Psicologia;130;131;131;2018;0507;
154;8368;Ciências do Desporto (regime pós-laboral);25;26;26;2018;0508;
155;9707;Ciências do Desporto;95;98;98;2018;0508;
156;8258;Arquitetura Paisagista;10;0;10;2018;0602;
157;8262;Biologia Humana;35;26;35;2018;0602;
158;9003;Agronomia;39;26;39;2018;0602;
159;9011;Biologia;50;42;50;2018;0602;
160;9015;Bioquímica;40;30;40;2018;0602;
161;9016;Biotecnologia;30;20;30;2018;0602;
162;9119;Engenharia Informática;45;45;45;2018;0602;
163;9143;Geografia;20;22;22;2018;0602;
164;9146;Geologia;10;7;10;2018;0602;
165;9210;Matemática Aplicada à Economia e à Gestão;40;36;40;2018;0602;
166;9707;Ciências do Desporto;45;46;46;2018;0602;
167;9751;Engenharia Mecatrónica;40;11;40;2018;0602;
168;9818;Ciência e Tecnologia Animal;39;29;39;2018;0602;
169;9841;Reabilitação Psicomotora;27;13;27;2018;0602;
170;9847;Medicina Veterinária;55;55;55;2018;0602;
171;9910;Engenharia de Energias Renováveis;20;5;20;2018;0602;
172;L090;Ecologia e Ambiente;10;10;10;2018;0602;
173;9069;Design;35;36;36;2018;0603;
174;9243;Teatro;22;23;23;2018;0603;
175;9257;Arquitetura;40;33;40;2018;0603;
176;9347;Artes Plásticas e Multimédia;44;32;44;2018;0603;
177;8251;História e Arqueologia;25;25;25;2018;0604;
178;9026;Ciências da Educação;22;24;24;2018;0604;
179;9081;Economia;40;33;40;2018;0604;
180;9147;Gestão;65;65;65;2018;0604;
181;9219;Psicologia;52;52;52;2018;0604;
182;9229;Relações Internacionais;56;57;57;2018;0604;
