codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0140,8031,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),PM,15,7,144.8,8
0140,8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,15,15,170.4,0
0140,9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,20,10,,10
0140,L121,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,L1,25,8,116.4,17
0150,9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,22,22,135.0,0
0150,9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,36,38,147.9,0
0150,9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,36,36,128.1,0
0150,9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,29,29,117.4,0
0150,9798,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Relações Públicas e Comunicação,L1,40,40,130.1,0
0150,9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,21,21,134.2,0
0150,L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,24,25,135.8,0
0150,L086,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Euro-Atlânticos,L1,20,20,112.8,0
0160,8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,50,50,182.8,0
0160,8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,26,26,123.7,0
0160,8571,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),PL,22,12,163.5,10
0160,9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,28,28,141.2,0
0160,9185,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,L1,26,13,105.4,13
0170,9081,Universidade dos Açores - Faculdade de Economia e Gestão,Economia,L1,20,8,119.3,12
0170,9147,Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,L1,50,50,127.2,0
0170,9254,Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,L1,25,25,118.4,0
0201,8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,35,36,109.7,0
0201,9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,38,40,113.3,0
0201,9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,67,69,158.8,0
0201,9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,25,27,134.4,0
